ID_MARCA,MARCA,ID_LINHA,LINHA,DATA_VENDA,QTD_VENDA
4,VULT,4,SOLAR,08/07/2017,15
1,BOTICÁRIO,1,CABELOS,02/15/2017,4
1,BOTICÁRIO,5,HIDRATANTES,12/04/2017,2
5,BELEZA NA WEB,1,CABELOS,12/25/2017,10
4,VULT,4,SOLAR,11/14/2017,2
3,QUEM DISSE BERENICE,5,HIDRATANTES,04/13/2017,7
1,BOTICÁRIO,5,HIDRATANTES,05/02/2017,17
5,BELEZA NA WEB,2,PERFUMARIA,04/26/2017,7
4,VULT,3,MAQUIAGEM,01/10/2017,1
4,VULT,1,CABELOS,09/08/2017,3
4,VULT,4,SOLAR,07/07/2017,1
5,BELEZA NA WEB,3,MAQUIAGEM,01/11/2017,2
2,EUDORA,5,HIDRATANTES,07/11/2017,16
5,BELEZA NA WEB,2,PERFUMARIA,08/16/2017,1
1,BOTICÁRIO,3,MAQUIAGEM,07/19/2017,7
2,EUDORA,1,CABELOS,11/21/2017,2
5,BELEZA NA WEB,2,PERFUMARIA,12/17/2017,9
2,EUDORA,5,HIDRATANTES,04/18/2017,19
5,BELEZA NA WEB,4,SOLAR,06/18/2017,16
5,BELEZA NA WEB,3,MAQUIAGEM,12/08/2017,9
4,VULT,3,MAQUIAGEM,06/22/2017,9
4,VULT,4,SOLAR,08/16/2017,11
4,VULT,3,MAQUIAGEM,10/16/2017,8
5,BELEZA NA WEB,1,CABELOS,03/21/2017,15
5,BELEZA NA WEB,2,PERFUMARIA,08/20/2017,17
1,BOTICÁRIO,4,SOLAR,06/11/2017,14
3,QUEM DISSE BERENICE,1,CABELOS,02/15/2017,15
2,EUDORA,2,PERFUMARIA,09/27/2017,10
5,BELEZA NA WEB,2,PERFUMARIA,09/26/2017,15
4,VULT,5,HIDRATANTES,08/19/2017,11
5,BELEZA NA WEB,3,MAQUIAGEM,08/18/2017,5
2,EUDORA,1,CABELOS,11/03/2017,2
3,QUEM DISSE BERENICE,5,HIDRATANTES,01/13/2017,13
1,BOTICÁRIO,4,SOLAR,10/23/2017,3
3,QUEM DISSE BERENICE,4,SOLAR,05/06/2017,18
3,QUEM DISSE BERENICE,3,MAQUIAGEM,01/12/2017,1
4,VULT,4,SOLAR,08/23/2017,5
3,QUEM DISSE BERENICE,4,SOLAR,08/21/2017,6
1,BOTICÁRIO,4,SOLAR,04/20/2017,2
5,BELEZA NA WEB,2,PERFUMARIA,01/18/2017,4
5,BELEZA NA WEB,1,CABELOS,05/23/2017,9
3,QUEM DISSE BERENICE,5,HIDRATANTES,05/27/2017,6
5,BELEZA NA WEB,2,PERFUMARIA,11/18/2017,2
3,QUEM DISSE BERENICE,3,MAQUIAGEM,05/01/2017,11
4,VULT,2,PERFUMARIA,12/27/2017,11
4,VULT,1,CABELOS,12/13/2017,4
5,BELEZA NA WEB,4,SOLAR,09/23/2017,8
5,BELEZA NA WEB,3,MAQUIAGEM,03/30/2017,19
4,VULT,4,SOLAR,07/14/2017,6
2,EUDORA,1,CABELOS,01/24/2017,11
4,VULT,2,PERFUMARIA,04/18/2017,20
1,BOTICÁRIO,5,HIDRATANTES,02/09/2017,13
5,BELEZA NA WEB,4,SOLAR,11/05/2017,3
2,EUDORA,1,CABELOS,09/09/2017,1
3,QUEM DISSE BERENICE,3,MAQUIAGEM,06/13/2017,17
4,VULT,5,HIDRATANTES,06/01/2017,18
5,BELEZA NA WEB,3,MAQUIAGEM,10/24/2017,17
4,VULT,3,MAQUIAGEM,02/26/2017,1
1,BOTICÁRIO,5,HIDRATANTES,08/08/2017,11
1,BOTICÁRIO,4,SOLAR,10/26/2017,19
3,QUEM DISSE BERENICE,5,HIDRATANTES,01/04/2017,19
1,BOTICÁRIO,1,CABELOS,12/07/2017,13
